"","X","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","Scientific","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","scientificName","assessmentId","internalTaxonId","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","authority","redlistCategory","populationTrend","scopes"
"174",1257,11192,"Passeriformes","Passeriformes","Timaliidae","Babblers and parrotbills",163,"BL3","Stachyris rufifrons","Rufous-fronted Babbler",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_12","A","Jennifer",0,0,0,80,20,0,0,0,"Ref_11",1,"Jessica",0,10.6,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",1271,11216,"Passeriformes","Passeriformes","Timaliidae","Babblers and parrotbills",163,"BL3","Stachyris erythroptera","Chestnut-winged Babbler",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_12","A","Jennifer",0,0,0,0,100,0,0,0,"Ref_11",1,"Jessica",0,12.6,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",1274,11222,"Passeriformes","Passeriformes","Timaliidae","Babblers and parrotbills",163,"BL3","Macronous flavicollis","Grey-cheeked Tit-babbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_12","A","Jennifer",0,0,0,20,80,0,0,0,"Ref_11",1,"Jessica",0,20,"PrimScale",1,"MarceloR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",1292,11267,"Passeriformes","Passeriformes","Timaliidae","Babblers and parrotbills",163,"BL3","Babax lanceolatus","Chinese Babax",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_12","A","Jennifer",0,0,40,40,20,0,0,0,"Ref_11",1,"Jessica",0,32,"PrimScale",1,"MarceloR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",1323,11358,"Passeriformes","Passeriformes","Timaliidae","Babblers and parrotbills",163,"BL3","Paradoxornis brunneus","Brown-winged Parrotbill",70,0,0,0,0,0,0,0,30,0,"Invertebrate","Ref_12","A","Jennifer",0,0,0,100,0,0,0,0,"Ref_11",1,"Jessica",0,20.73,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",1332,11367,"Passeriformes","Passeriformes","Timaliidae","Babblers and parrotbills",163,"BL3","Paradoxornis ruficeps","Rufous-headed Parrotbill",60,0,0,0,0,0,20,0,20,0,"Invertebrate","Ref_12","A","Jennifer",0,0,0,100,0,0,0,0,"Ref_11",1,"Jessica",0,32,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",1334,11388,"Passeriformes","Passeriformes","Sylviidae","Old World warblers",161,"BL3","Sylvia minula","Small Whitethroat",80,0,0,0,0,0,0,20,0,0,"Invertebrate","Ref_11","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_11",1,"Jessica",0,11,"PrimScale",1,"MarceloR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",1335,11389,"Passeriformes","Passeriformes","Sylviidae","Old World warblers",161,"BL3","Sylvia althaea","Hume's Whitethroat",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_11","A","Jennifer",0,0,0,50,50,0,0,0,"Ref_11",1,"Jessica",0,14.9,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",1337,11414,"Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Mirafra cantillans","Singing Bushlark",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,18.69,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",1342,11449,"Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Heteromirafra sidamoensis","Liben Lark",80,0,0,0,0,0,0,0,20,0,"Invertebrate","Ref_9","D1","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,30.2,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
