"","Scientific","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","scientificName","assessmentId","internalTaxonId","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","authority","redlistCategory","populationTrend","scopes"
"1","Tachyglossus aculeatus","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",3025,"Ref_117",1,"Tachyglossus aculeatus",21964662,41312,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","TACHYGLOSSIDAE","Tachyglossus","aculeatus","(Shaw, 1792)","Least Concern","Stable","Global"
"2","Zaglossus attenboroughi","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_65","ABC","G","A","",1,0,0,"Ref_1","ABC",8532.39,"Ref_2, Ref_3",0,"Zaglossus attenboroughi",21964353,136322,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","TACHYGLOSSIDAE","Zaglossus","attenboroughi","Flannery &amp; Groves, 1998","Critically Endangered","Decreasing","Global"
"3","Zaglossus bartoni","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_2","D1","G","A","",1,0,0,"Ref_1","ABC",7180,"Ref_131",1,"Zaglossus bartoni",21964496,136552,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","TACHYGLOSSIDAE","Zaglossus","bartoni","(Thomas, 1907)","Vulnerable","Decreasing","Global"
"4","Ornithorhynchus anatinus","Ornithorhynchidae",80,0,0,20,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",1484.25,"Ref_117",1,"Ornithorhynchus anatinus",21964009,40488,"ANIMALIA","CHORDATA","MONOTREMATA","MAMMALIA","ORNITHORHYNCHIDAE","Ornithorhynchus","anatinus","(Shaw, 1799)","Near Threatened","Decreasing","Global"
"5","Caluromys philander","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",229.25,"Ref_117",1,"Caluromys philander",97206149,3649,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromys","philander","Linnaeus, 1758","Least Concern","Decreasing","Global"
"6","Caluromys derbianus","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",297,"Ref_117",1,"Caluromys derbianus",22175821,3650,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromys","derbianus","Waterhouse, 1841","Least Concern","Decreasing","Global"
"7","Caluromys lanatus","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A","",1,1,0,"Ref_1","ABC",325,"Ref_117",1,"Caluromys lanatus",22175609,3648,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromys","lanatus","(Olfers, 1818)","Least Concern","Decreasing","Global"
"8","Caluromysiops irrupta","Didelphidae",20,0,0,0,0,0,20,40,0,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",250,"Ref_117",1,"Caluromysiops irrupta",97206475,3651,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Caluromysiops","irrupta","Sanborn, 1951","Least Concern","Decreasing","Global"
"9","Glironia venusta","Didelphidae",40,0,0,0,20,0,20,0,20,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",114,"Ref_117",1,"Glironia venusta",22179598,9245,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Glironia","venusta","Thomas, 1912","Least Concern","Unknown","Global"
"10","Chironectes minimus","Didelphidae",50,0,0,30,0,0,0,0,0,20,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",946,"Ref_117",1,"Chironectes minimus",22173467,4671,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Chironectes","minimus","(Zimmermann, 1780)","Least Concern","Decreasing","Global"
"11","Didelphis aurita","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",1163.99,"Ref_117",1,"Didelphis aurita",22175929,40500,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","aurita","(Wied-Neuwied, 1826)","Least Concern","Stable","Global"
"12","Didelphis imperfecta","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",1260.04,"Ref_2, Ref_3",0,"Didelphis imperfecta",22176554,136592,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","imperfecta","Mondolfi &amp; Pérez-Hernández, 1984","Least Concern","Stable","Global"
"13","Didelphis marsupialis","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",1091.16,"Ref_117",1,"Didelphis marsupialis",22176071,40501,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","marsupialis","Linnaeus, 1758","Least Concern","Stable","Global"
"14","Didelphis pernigra","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_2","D1","S","A","",1,0,0,"Ref_1","ABC",1260.04,"Ref_2, Ref_3",0,"Didelphis pernigra",22176668,136395,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","pernigra","J.A. Allen, 1900","Least Concern","Stable","Global"
"15","Didelphis virginiana","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",2195.48,"Ref_117",1,"Didelphis virginiana",22176259,40502,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","virginiana","Kerr, 1792","Least Concern","Increasing","Global"
"16","Didelphis albiventris","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",904,"Ref_117",1,"Didelphis albiventris",22176404,40489,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Didelphis","albiventris","Lund, 1840","Least Concern","Stable","Global"
"17","Gracilinanus emiliae","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",7.6,"Ref_117",1,"Gracilinanus emiliae",22170041,9419,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Gracilinanus","emiliae","(Thomas, 1909)","Data Deficient","Unknown","Global"
"18","Gracilinanus microtarsus","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",31,"Ref_117",1,"Gracilinanus microtarsus",22169577,9421,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Gracilinanus","microtarsus","Wagner, 1842","Least Concern","Unknown","Global"
"19","Gracilinanus marica","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",23.8,"Ref_117",1,"Gracilinanus marica",22169944,9420,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Gracilinanus","marica","(Thomas, 1898)","Least Concern","Decreasing","Global"
"20","Gracilinanus dryas","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",18,"Ref_117",1,"Gracilinanus dryas",22169714,9418,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Gracilinanus","dryas","(Thomas, 1898)","Least Concern","Decreasing","Global"
"21","Gracilinanus aceramarcae","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",20.5,"Ref_117",1,"Gracilinanus aceramarcae",22169509,9416,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Gracilinanus","aceramarcae","(Tate, 1931)","Least Concern","Unknown","Global"
"22","Gracilinanus agilis","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",22,"Ref_117",1,"Gracilinanus agilis",22169828,9417,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Gracilinanus","agilis","(Burmeister, 1854)","Least Concern","Unknown","Global"
"23","Hyladelphys kalinowskii","Didelphidae",60,10,0,0,0,10,20,0,0,0,"Ref_3","D2","Ar","A","",1,0,0,"Ref_3","D2",16.75,"Ref_155",1,"Hyladelphys kalinowskii",22175183,9422,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Hyladelphys","kalinowskii","P. Hershkovitz, 1992","Least Concern","Unknown","Global"
"24","Lestodelphys halli","Didelphidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",76,"Ref_117",1,"Lestodelphys halli",22175270,11856,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Lestodelphys","halli","(Thomas, 1921)","Least Concern","Decreasing","Global"
"25","Lutreolina crassicaudata","Didelphidae",20,40,20,20,0,0,0,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",537.3,"Ref_117",1,"Lutreolina crassicaudata",22175337,40503,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Lutreolina","crassicaudata","(Desmarest, 1804)","Least Concern","Unknown","Global"
"26","Marmosa murina","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",26,"Ref_117",1,"Marmosa murina",22174039,40505,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","murina","Linnaeus, 1758","Least Concern","Stable","Global"
"27","Marmosa xerophila","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",46.2,"Ref_117",1,"Marmosa xerophila",115106154,12815,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","xerophila","Handley &amp; Gordon, 1979","Vulnerable","Decreasing","Global"
"28","Marmosa tyleriana","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",32.4,"Ref_117",1,"Marmosa tyleriana",22174266,12816,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","tyleriana","Tate, 1931","Data Deficient","Unknown","Global"
"29","Marmosa rubra","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",63,"Ref_117",1,"Marmosa rubra",22174358,40507,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","rubra","Tate, 1931","Data Deficient","Unknown","Global"
"30","Marmosa quichua","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",38.23,"Ref_2, Ref_3",0,"Marmosa quichua",22173866,136508,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","quichua","Thomas, 1899","Least Concern","Decreasing","Global"
"31","Marmosa mexicana","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",49.45,"Ref_117",1,"Marmosa mexicana",22173751,40504,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","mexicana","Merriam, 1897","Least Concern","Stable","Global"
"32","Marmosa lepida","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",14,"Ref_117",1,"Marmosa lepida",22173952,12814,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","lepida","(Thomas, 1888)","Least Concern","Stable","Global"
"33","Marmosa andersoni","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",47.4,"Ref_117",1,"Marmosa andersoni",22174790,12812,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","andersoni","Pine, 1972","Data Deficient","Unknown","Global"
"34","Marmosa robinsoni","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",56.67,"Ref_117",1,"Marmosa robinsoni",22174162,40506,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosa","robinsoni","Bangs, 1898","Least Concern","Stable","Global"
"35","Marmosops handleyi","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",30.7,"Ref_117",1,"Marmosops handleyi",22179321,12820,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","handleyi","(Pine, 1981)","Critically Endangered","Decreasing","Global"
"36","Marmosops juninensis","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",31.57,"Ref_2, Ref_3",0,"Marmosops juninensis",22178449,136364,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","juninensis","(Tate, 1931)","Vulnerable","Decreasing","Global"
"37","Marmosops pinheiroi","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_23","ABC","Ar","A","",1,0,0,"Ref_2","D1",31.57,"Ref_2, Ref_3",0,"Marmosops pinheiroi",22178537,136573,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","pinheiroi","(Pine, 1981)","Least Concern","Unknown","Global"
"38","Marmosops paulensis","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",38.89,"Ref_58",1,"Marmosops paulensis",22179442,136278,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","paulensis","(Tate, 1931)","Least Concern","Unknown","Global"
"39","Marmosops parvidens","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",15,"Ref_117",1,"Marmosops parvidens",22178960,12824,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","parvidens","(Tate, 1931)","Least Concern","Unknown","Global"
"40","Marmosops noctivagus","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",21,"Ref_117",1,"Marmosops noctivagus",22178376,40508,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","noctivagus","(Tschudi, 1844)","Least Concern","Stable","Global"
"41","Marmosops neblina","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",31.57,"Ref_2, Ref_3",0,"Marmosops neblina",22179522,136830,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","neblina","Gardner, 1990","Least Concern","Stable","Global"
"42","Marmosops bishopi","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",19.5,"Ref_132",1,"Marmosops bishopi",22178294,136296,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","bishopi","(Pine, 1981)","Least Concern","Unknown","Global"
"43","Marmosops impavidus","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",40.5,"Ref_117",1,"Marmosops impavidus",22178706,89333331,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","impavidus","Tschudi, 1845","Least Concern","Stable","Global"
"44","Marmosops incanus","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",62.3,"Ref_117",1,"Marmosops incanus",22178797,12822,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","incanus","(Lund, 1840)","Least Concern","Unknown","Global"
"45","Marmosops fuscatus","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",60,"Ref_117",1,"Marmosops fuscatus",22179192,12819,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","fuscatus","Thomas, 1896","Data Deficient","Decreasing","Global"
"46","Marmosops cracens","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",25.5,"Ref_117",1,"Marmosops cracens",22179053,12817,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","cracens","(Handley &amp; Gordon, 1979)","Data Deficient","Unknown","Global"
"47","Marmosops invictus","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",29.2,"Ref_117",1,"Marmosops invictus",115106311,12823,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Marmosops","invictus","Goldman, 1912","Least Concern","Stable","Global"
"48","Metachirus nudicaudatus","Didelphidae",30,20,20,0,10,0,20,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",375,"Ref_117",1,"Metachirus nudicaudatus",22177475,40509,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Metachirus","nudicaudatus","(É. Geoffroy, 1803)","Least Concern","Stable","Global"
"49","Monodelphis emiliae","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",40,"Ref_117",1,"Monodelphis emiliae",22170338,13694,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","emiliae","(Thomas, 1912)","Least Concern","Unknown","Global"
"50","Monodelphis osgoodi","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",112,"Ref_117",1,"Monodelphis osgoodi",22171354,13698,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","osgoodi","Doutt, 1938","Least Concern","Unknown","Global"
"51","Monodelphis scalops","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",741,"Ref_117",1,"Monodelphis scalops",97249081,97249078,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","scalops","(Thomas, 1888)","Least Concern","Decreasing","Global"
"52","Monodelphis palliolata","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_2","D1","G","A","",1,0,0,"Ref_2","D1",61.54,"Ref_2, Ref_3",0,"Monodelphis palliolata",22172033,136516,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","palliolata","(Osgood, 1914)","Least Concern","Decreasing","Global"
"53","Monodelphis unistriata","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",55.3,"Ref_117",1,"Monodelphis unistriata",22171555,13703,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","unistriata","(Wagner, 1842)","Critically Endangered","Unknown","Global"
"54","Monodelphis kunsi","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",11.3,"Ref_117",1,"Monodelphis kunsi",22170540,13696,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","kunsi","Pine, 1975","Least Concern","Stable","Global"
"55","Monodelphis glirina","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_2","D1","G","A","",1,0,0,"Ref_2","D1",61.54,"Ref_2, Ref_3",0,"Monodelphis glirina",97249275,97249272,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","glirina","(Wagner, 1842)","Least Concern","Unknown","Global"
"56","Monodelphis domestica","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",71.4,"Ref_117",1,"Monodelphis domestica",22171137,40514,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","domestica","(Wagner, 1842)","Least Concern","Stable","Global"
"57","Monodelphis dimidiata","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",58,"Ref_117",1,"Monodelphis dimidiata",22170430,13693,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","dimidiata","(Wagner, 1847)","Least Concern","Stable","Global"
"58","Monodelphis brevicaudata","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",69.63,"Ref_117",1,"Monodelphis brevicaudata",22171441,40513,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","brevicaudata","(Erxleben, 1777)","Least Concern","Unknown","Global"
"59","Monodelphis americana","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",19.5,"Ref_117",1,"Monodelphis americana",166527106,96866849,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","americana","(Müller, 1776)","Least Concern","Decreasing","Global"
"60","Monodelphis adusta","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",35,"Ref_117",1,"Monodelphis adusta",22170648,51343071,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","adusta","(Thomas, 1897)","Least Concern","Stable","Global"
"61","Monodelphis iheringi","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",112,"Ref_117",1,"Monodelphis iheringi",22170736,13695,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Monodelphis","iheringi","Thomas, 1888","Data Deficient","Decreasing","Global"
"62","Philander andersoni","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,1,1,"Ref_1","ABC",325,"Ref_117",1,"Philander andersoni",22177040,40515,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Philander","andersoni","(Osgood, 1913)","Least Concern","Stable","Global"
"63","Philander opossum","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,1,1,"Ref_1","ABC",585.5,"Ref_117",1,"Philander opossum",22176779,40516,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Philander","opossum","(Linnaeus, 1758)","Least Concern","Stable","Global"
"64","Philander mcilhennyi","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Ref_2","D1","S","A","",1,1,1,"Ref_1","ABC",325,"Ref_134",1,"Philander mcilhennyi",22177320,136501,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Philander","mcilhennyi","Gardner &amp; Patton, 1972","Least Concern","Unknown","Global"
"65","Philander frenatus","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Ref_2","D1","S","A","",1,1,1,"Ref_2","D1",395.45,"Ref_2, Ref_3",0,"Philander frenatus",22177125,136375,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Philander","frenatus","Olfers, 1818","Least Concern","Unknown","Global"
"66","Thylamys pusillus","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",28.21,"Ref_58",1,"Thylamys pusillus",22172657,201936,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Thylamys","pusillus","(Desmarest, 1804)","Least Concern","Decreasing","Global"
"67","Thylamys venustus","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Ref_54","ABC","S","A","",1,0,0,"Ref_1","ABC",24.41,"Ref_2, Ref_3",0,"Thylamys venustus",22172283,136626,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Thylamys","venustus","(Thomas, 1902)","Data Deficient","Unknown","Global"
"68","Thylamys tatei","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Ref_54","ABC","S","A","",1,0,0,"Ref_1","ABC",24.41,"Ref_2, Ref_3",0,"Thylamys tatei",22173132,136243,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Thylamys","tatei","(Handley, 1957)","Data Deficient","Unknown","Global"
"69","Thylamys velutinus","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",20.7,"Ref_117",1,"Thylamys velutinus",22172367,40520,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Thylamys","velutinus","(Wagner, 1842)","Near Threatened","Decreasing","Global"
"70","Thylamys macrurus","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",34.43,"Ref_58",1,"Thylamys macrurus",22173324,21867,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Thylamys","macrurus","(Olfers, 1818)","Near Threatened","Decreasing","Global"
"71","Thylamys karimii","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",24.41,"Ref_2, Ref_3",0,"Thylamys karimii",22172758,136653,"ANIMALIA","CHORDATA","DIDELPHIMORPHIA","MAMMALIA","DIDELPHIDAE","Thylamys","karimii","(Petter, 1968)","Vulnerable","Decreasing","Global"
