assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
93795962,22700773,Zaratornis stresemanni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Zaratornis,stresemanni,,,,"Koepcke, 1964",Vulnerable,C2a(i),3.1,Decreasing,Global
93796258,22700782,Pipreola riefferii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,riefferii,,,,"(Boissonneau, 1840)",Least Concern,,3.1,Stable,Global
93796432,22700785,Pipreola intermedia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,intermedia,,,,"Taczanowski, 1884",Least Concern,,3.1,Stable,Global
93796596,22700788,Pipreola arcuata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,arcuata,,,,"(Lafresnaye, 1843)",Least Concern,,3.1,Stable,Global
93797288,22700800,Pipreola pulchra,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,pulchra,,,,"(Hellmayr, 1917)",Least Concern,,3.1,Decreasing,Global
93797453,22700803,Pipreola chlorolepidota,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,chlorolepidota,,,,"Swainson, 1837",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
93797721,103676613,Pipreola frontalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,frontalis,,,,"(Sclater, 1858)",Least Concern,,3.1,Decreasing,Global
93797901,22700809,Pipreola formosa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,formosa,,,,"(Hartlaub, 1849)",Least Concern,,3.1,Stable,Global
93798065,22700812,Pipreola whitelyi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,whitelyi,,,,"Salvin & Godman, 1884",Least Concern,,3.1,Stable,Global
93798415,22700818,Iodopleura pipra,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Iodopleura,pipra,,,,"(Lesson, 1831)",Endangered,C2a(i),3.1,Decreasing,Global
